idd|text|local_score|alch_score|sentiment
718749007686799360|RT @DaveMustaine: Sad Wings Of Destiny by far is my fave @judaspriest record and i will always hail Glen and KK as a great guitar duo! http…|4.0|-0.268569|2.0
717268709195309056|Original Poster France Lyon City River Bridge 1980 https://t.co/3JJLgY5jG4 https://t.co/NMJXqlGZDp|4.0|-0.722709|4.0
717270947397406721|Got a question for Ross Lyon @freodockers... Let me know https://t.co/t0kjzyZri7|3.0|-0.722709|3.0
718043948896370688|"RT @scottyvaIens: COOKIE LYON

- independent
- not afraid of anyone  
- fierce and she knows it
- ""the name is cookie, ask about me."" https…"|2.0|-0.722708|3.0
726123085800312833|"#FRESHBEATS Listen to EarllyMac, Chuckisdope and AaronCohenRap connect on ""Bron Bron.""

https://t.co/sdtOTOAADR https://t.co/8EcfG7V2Th #…"|3.0|-0.722708|3.0
718086684424974336|"Minna Lyon: humans unique in understanding we have ancestors ""historical consciousness"" #ehbea2016"|4.0|0.255833|3.0
732761982655291392|@ArtsHub Recently I was humbled&amp;honoured helping Priest-rape victim with Afadavit of ImpactStatement stating that parents become victims too|4.0|-0.339857|2.0
732665165477470209|"RT @sports_fr: #Football Lyon aurait refusé une offre de 40 millions de West Ham pour Lacazette
https://t.co/gubEUNmJ98 https://t.co/ZSo0Vj…"|3.0|-0.722709|4.0
732770835136544769|@TurnerNoBurner Bron|3.0|-0.463596|2.0
718125272319574016|Vintage Banjolin Mandolin Banjo Sun Star Lyon &amp; Healy 8 String Folk Bell Brand  https://t.co/mqkargNUfH https://t.co/kgiLvZeWUj|3.0|-0.722708|3.0
718128540235882496|"Big AZ #thankyou 4 the #kind RT!! Much appreciated XO ... #Author Cat Lyon ""-) https://t.co/japadhdJ80"|4.0|0.257696|3.0
716852510707703809|RT @theheraldsun: Garry Lyon is ‘not in a good space’, according to Sam Newman https://t.co/IPcbNXq5l4 https://t.co/NiCJ4pogVZ|3.0|-0.722708|3.0
718794259705552896|I liked a @YouTube video https://t.co/RGELmrhiXK Maxi Priest - Close to you (HQ)|3.0|-0.722708|3.0
718035646690951168|"Lyon considers himself to be Gray's superior and tries his best to prove his superiority over him.
#LyonBot"|4.0|0.536444|3.0
718110234238132224|"RT @scottyvaIens: COOKIE LYON

- independent
- not afraid of anyone  
- fierce and she knows it
- ""the name is cookie, ask about me."" https…"|2.0|-0.722708|3.0
732711059027419138|Un chauffeur soupçonné de deux viols à Lyon https://t.co/S7c2jcivRA|2.0|-0.722709|2.0
732780271184019456|@BallinBurrows @OsheaJacksonJr he's not disrespecting bron he's calling laker fans who hate LeBron stupid lol|2.0|0.374693|2.0
725499596781166592|RT @EmpireFOX: Things are heating up in the Lyon's den. 💋💋 #Empire|3.0|0.321692|3.0
718789314633576449|Lyon: Our aim is to win every game of footy we play #AFLEaglesFreo #foreverfreo|4.0|0.876328|3.0
718729314879995904|Indiana University Students Mistake Priest for KKK Member - Breitbart https://t.co/7Vxn6FeGDv via @BreitbartNews|3.0|-0.722708|2.0
718080849783029760|"It is unknown what had happened to Lyon's parents.
#LyonBot"|2.0|0.536444|3.0
717272490834309120|RT @stevozone4: Lyon, France has soooooooooo many hoes|3.0|-0.722709|4.0
717269178676355072|Original Poster France Lyon City River Bridge 1980 https://t.co/QrLsHEeZnD https://t.co/XOQ3MRIqTq|4.0|-0.722709|4.0
718753089017110528|"Zac Dawson obviously has compromising photos of Ross Lyon........

The guy is as much use as a chocolate fire guard!!"|4.0|0.286984|3.0
718068223405588480|Fekir returns to Lyon squad v Montpellier tomorrow. Huge boost for club who've missed his threat this season, and France ahead of Euros.|2.0|-0.722709|4.0
732605836774641664|RT @ChristnNitemare: Anti-gay priest caught on Grindr https://t.co/uOhT2dD1u2 cc: @fakedansavage @JoeMyGod https://t.co/xt18h6ImJl|3.0|0.22988|2.0
718078805718339584|"RT @ogIiIIy: ""Luscious Lyon ain't even his real name"" https://t.co/YWZd3ofXVm"|4.0|-0.722709|3.0
