"","x"
"1","abound"
"2","abund"
"3","access"
"4","acclaim"
"5","acclam"
"6","accolad"
"7","accommod"
"8","accomod"
"9","accomplish"
"10","accur"
"11","achiev"
"12","acumen"
"13","adapt"
"14","adequ"
"15","adjust"
"16","admir"
"17","ador"
"18","adroit"
"19","adul"
"20","adulatori"
"21","advanc"
"22","advantag"
"23","adventuresom"
"24","adventur"
"25","advoc"
"26","affabl"
"27","affect"
"28","affection"
"29","affin"
"30","affirm"
"31","affluenc"
"32","affluent"
"33","afford"
"34","aford"
"35","agil"
"36","agreeabl"
"37","all-around"
"38","allur"
"39","altruist"
"40","amaz"
"41","ambiti"
"42","amelior"
"43","amen"
"44","amiabl"
"45","amiabili"
"46","amic"
"47","amiti"
"48","ampl"
"49","ampli"
"50","amus"
"51","angel"
"52","apotheosi"
"53","appeal"
"54","applaud"
"55","appreci"
"56","appropri"
"57","approv"
"58","ardent"
"59","ardor"
"60","articul"
"61","aspir"
"62","assur"
"63","astonish"
"64","astound"
"65","astut"
"66","attent"
"67","attract"
"68","attun"
"69","audibl"
"70","auspici"
"71","authent"
"72","authorit"
"73","autonom"
"74","avail"
"75","aver"
"76","avid"
"77","award"
"78","awe"
"79","awesom"
"80","awestruck"
"81","awsom"
"82","backbon"
"83","balanc"
"84","bargain"
"85","beauteous"
"86","beauti"
"87","beautifullli"
"88","beautifi"
"89","beckon"
"90","believ"
"91","belov"
"92","benefactor"
"93","benefic"
"94","benefici"
"95","beneficiari"
"96","benefit"
"97","benevol"
"98","benifit"
"99","best"
"100","best-known"
"101","best-perform"
"102","best-sel"
"103","better"
"104","better-known"
"105","better-than-expect"
"106","beuti"
"107","blameless"
"108","bless"
"109","bliss"
"110","blith"
"111","blockbust"
"112","bloom"
"113","blossom"
"114","bolster"
"115","bonni"
"116","bonus"
"117","boom"
"118","boost"
"119","boundless"
"120","bounti"
"121","brainiest"
"122","braini"
"123","brand-new"
"124","brave"
"125","braveri"
"126","bravo"
"127","breakthrough"
"128","breathless"
"129","breathtak"
"130","breez"
"131","bright"
"132","brighten"
"133","brighter"
"134","brightest"
"135","brillianc"
"136","brilliant"
"137","brisk"
"138","brother"
"139","bullish"
"140","buoyant"
"141","cajol"
"142","calm"
"143","capabl"
"144","captiv"
"145","carefre"
"146","cashback"
"147","catchi"
"148","celebr"
"149","celebratori"
"150","champ"
"151","champion"
"152","charisma"
"153","charismat"
"154","charit"
"155","charm"
"156","chast"
"157","cheaper"
"158","cheapest"
"159","cheer"
"160","cheeri"
"161","cherish"
"162","cherub"
"163","chic"
"164","chivalr"
"165","chivalri"
"166","civil"
"167","clariti"
"168","classic"
"169","classi"
"170","clean"
"171","cleaner"
"172","cleanest"
"173","cleanli"
"174","clear"
"175","clear-cut"
"176","clearer"
"177","clever"
"178","coher"
"179","cohes"
"180","color"
"181","come"
"182","comfort"
"183","comfi"
"184","commend"
"185","commit"
"186","commodi"
"187","compact"
"188","compass"
"189","compassion"
"190","compat"
"191","competit"
"192","complement"
"193","complementari"
"194","compliant"
"195","compliment"
"196","complimentari"
"197","comprehens"
"198","concili"
"199","conciliatori"
"200","concis"
"201","confid"
"202","congeni"
"203","congratul"
"204","congratulatori"
"205","conscienti"
"206","consider"
"207","consist"
"208","construct"
"209","consumm"
"210","content"
"211","continu"
"212","contrasti"
"213","contribut"
"214","conveni"
"215","convienc"
"216","convieni"
"217","convient"
"218","convinc"
"219","cool"
"220","coolest"
"221","cooper"
"222","cornerston"
"223","correct"
"224","cost-effect"
"225","cost-sav"
"226","counter-attack"
"227","courag"
"228","courteous"
"229","court"
"230","coven"
"231","cozi"
"232","creativ"
"233","credenc"
"234","credibl"
"235","crisp"
"236","crisper"
"237","cure"
"238","cure-al"
"239","cushi"
"240","cute"
"241","dank"
"242","danken"
"243","dare"
"244","darl"
"245","dash"
"246","dauntless"
"247","dawn"
"248","dazzl"
"249","dead-cheap"
"250","dead-on"
"251","decenc"
"252","decent"
"253","decis"
"254","dedic"
"255","defeat"
"256","defend"
"257","defer"
"258","deft"
"259","deginifi"
"260","delect"
"261","delicaci"
"262","delic"
"263","delici"
"264","delight"
"265","depend"
"266","deserv"
"267","desir"
"268","destini"
"269","detach"
"270","devout"
"271","dexter"
"272","dextrous"
"273","dignifi"
"274","digniti"
"275","dilig"
"276","diplomat"
"277","dirt-cheap"
"278","distinct"
"279","distinguish"
"280","diversifi"
"281","divin"
"282","domin"
"283","dote"
"284","doubtless"
"285","dreamland"
"286","dumbfound"
"287","dummy-proof"
"288","durabl"
"289","dynam"
"290","eager"
"291","earnest"
"292","eas"
"293","easier"
"294","easiest"
"295","easi"
"296","easy-to-us"
"297","easygo"
"298","ebulli"
"299","ecenom"
"300","econom"
"301","ecstasi"
"302","ecstat"
"303","edifi"
"304","educ"
"305","effect"
"306","effectu"
"307","efficaci"
"308","effici"
"309","effortless"
"310","effus"
"311","elan"
"312","elat"
