"","word_clean","score"
"1","abandonné",-1
"2","abandon",-1
"3","abandonner",-1
"4","rabaisser",-2
"5","abaissement",-2
"6","abash",-2
"7","abate",-1
"8","abdiquer",-1
"9","aberration",-2
"10","aberration",-2
"11","abhor",-2
"12","abhor",-2
"13","abhorred",-2
"14","horreur",-2
"15","abhorrent",-2
"16","abhorrently",-2
"17","abhors",-2
"18","abhors",-2
"19"," respect",2
"20"," respect",2
"21","respecter",2
"22","abjecte",-2
"23","misérablement",-2
"24","abjuration",-1
"25","capacités",1
"26","capacité",1
"27","mesure",1
"28","anormale",-1
"29","abolir",-1
"30","abominable",-2
"31","abominablement",-2
"32","abominate",-2
"33","abomination",-2
"34","ci-dessus",1
"35","-dessus   moyenne",1
"36","abondent",1
"37","poncer",-1
"38","abrasifs",-2
"39","brusquement",-1
"40"," soustraire   justice",-2
"41","absence",-1
"42","absents",-1
"43","absent-minded",-2
"44","absoudre",2
"45","absolue",0
"46","absolument",0
"47","absorbé",0
"48","absurde",-2
"49","absurdité",-2
"50"," absurde",-2
"51","absurdness",-2
"52","abundant",1
"53","abondance",1
"54","abus",-1
"55","abus",-1
"56","abus",-2
"57","abus",-1
"58","abus",-1
"59","abusif",-2
"60","abysmal",-2
"61","lamentablement",-2
"62","abyss",-2
"63","adhérer",2
"64","accentuer",0
"65","accepter",1
"66","acceptation",1
"67","acceptable",1
"68","accessible",1
"69","accidentelle",-1
"70","acclamation  ",2
"71","acclamation  ",2
"72","acclamé",2
"73","acclamation",2
"74","accolade",2
"75","récompenses",2
"76","accommodante",1
"77","accomplir",1
"78","réalisation",1
"79","réalisations",1
"80","accord",1
"81","conformément",1
"82","accordantly",1
"83","accoster",-1
"84","responsable",-1
"85","exact",1
"86"," précision",1
"87","maudit",-2
"88","accusation",-2
"89","accusation",-2
"90"," accusations",-2
"91"," accusations",-2
"92","accuser",-2
"93","accuse",-2
"94","accusant",-2
"95","accusatrice",-2
"96","acerbate",-2
"97","acerbe",-2
"98","acerbically",-2
"99","ache",-2
"100","réalisable",1
"101","atteindre",1
"102","réalisation",1
"103","réalisations",1
"104","reconnaissez",1
"105","accusé  réception",1
"106","acquitter",1
"107","âcre",-2
"108","acridly",-2
"109","acridness",-2
"110","acerbes",-2
"111","acrimoniously",-2
"112","acrimonie",-2
"113","active",1
"114","militant",0
"115","militant",0
"116","réel",0
"117","actualité",0
"118"," fait",0
"119","sens",2
"120","catégorique",-2
"121","résolument",-2
"122","adaptable",1
"123","adaptabilité",1
"124","adaptative",1
"125","addict",-1
"126"," dépendance",-1
"127","adepte",1
"128","habilement",1
"129","adéquat",1
"130","adhésion",1
"131","adhérent",1
"132","adhérence",1
"133","admirable",2
"134","admirateur",2
"135","admirable",2
"136","admirablement",2
"137","admiration",2
"138","admirer",2
"139"," admirant",2
"140","admiratif",2
"141","admission",1
"142","admission",1
"143","admettre",2
"144","certes",2
