"","ADJECTIVE","POS.FREQ","NEG.FREQ","TomDS"
"1","2-faced",0,1,0
"2","2-faces",0,1,0
"3","abnormal",0,1,0
"4","abolish",0,1,0
"5","abominable",0,1,0
"6","abominably",0,1,0
"7","abominate",0,1,0
"8","abomination",0,1,0
"9","abort",0,1,0
"10","aborted",0,1,0
"11","aborts",0,1,0
"12","abrade",0,1,0
"13","abrasive",0,1,0
"14","abrupt",0,1,0
"15","abruptly",0,1,0
"16","abscond",0,1,0
"17","absence",0,1,0
"18","absent-minded",0,1,0
"19","absentee",0,1,0
"20","absurd",0,1,0
"21","absurdity",0,1,0
"22","absurdly",0,1,0
"23","absurdness",0,1,0
"24","abuse",0,1,0
"25","abused",0,1,0
"26","abuses",0,1,0
"27","abusive",0,1,0
"28","abysmal",0,1,0
"29","abysmally",0,1,0
"30","abyss",0,1,0
"31","accidental",0,1,0
"32","accost",0,1,0
"33","accursed",0,1,0
"34","accusation",0,1,0
"35","accusations",0,1,0
"36","accuse",0,1,0
"37","accuses",0,1,0
"38","accusing",0,1,0
"39","accusingly",0,1,0
"40","acerbate",0,1,0
"41","acerbic",0,1,0
"42","acerbically",0,1,0
"43","ache",0,1,0
"44","ached",0,1,0
"45","aches",0,1,0
"46","achey",0,1,0
"47","aching",0,1,0
"48","acrid",0,1,0
"49","acridly",0,1,0
"50","acridness",0,1,0
"51","acrimonious",0,1,0
"52","acrimoniously",0,1,0
"53","acrimony",0,1,0
"54","adamant",0,1,0
"55","adamantly",0,1,0
"56","addict",0,1,0
"57","addicted",0,1,0
"58","addicting",0,1,0
"59","addicts",0,1,0
"60","admonish",0,1,0
"61","admonisher",0,1,0
"62","admonishingly",0,1,0
"63","admonishment",0,1,0
"64","admonition",0,1,0
"65","adulterate",0,1,0
"66","adulterated",0,1,0
"67","adulteration",0,1,0
"68","adulterier",0,1,0
"69","adversarial",0,1,0
"70","adversary",0,1,0
"71","adverse",0,1,0
"72","adversity",0,1,0
"73","afflict",0,1,0
"74","affliction",0,1,0
"75","afflictive",0,1,0
"76","affront",0,1,0
