"","x"
"1","autr"
"2","mem"
"3","vieux"
"4","long"
"5","blanc"
"6","gros"
"7","roug"
"8","possibl"
"9","bleu"
"10","mauv"
"11","heureux"
"12","pauvr"
"13","bas"
"14","froid"
"15","clair"
"16","gris"
"17","pareil"
"18","vid"
"19","lourd"
"20","cher"
"21","ouvert"
"22","moindr"
"23","enorm"
"24","immobil"
"25","chaud"
"26","neuf"
"27","jaun"
"28","faux"
"29","larg"
"30","etrang"
"31","sal"
"32","national"
"33","fin"
"34","militair"
"35","ros"
"36","general"
"37","tranquill"
"38","epais"
"39","gauch"
"40","import"
"41","allemand"
"42","rond"
"43","blond"
"44","naturel"
"45","bref"
"46","americain"
"47","silenci"
"48","calm"
"49","vast"
"50","britann"
"51","curieux"
"52","serieux"
"53","vagu"
"54","gentil"
"55","normal"
"56","maigr"
"57","minuscul"
"58","prec"
"59","plat"
"60","anglais"
"61","doubl"
"62","malheur"
"63","fi"
"64","pir"
"65","troisiem"
"66","desert"
"67","vieil"
"68","dor"
"69","personnel"
"70","voisin"
"71","gras"
"72","russ"
"73","danger"
"74","inquiet"
"75","ridicul"
"76","extrem"
"77","sacr"
"78","tied"
"79","complet"
"80","solid"
"81","gai"
"82","reguli"
"83","serr"
"84","charm"
"85","roux"
"86","fix"
"87","affreux"
"88","raid"
"89","principal"
"90","intermin"
"91","tendu"
"92","confus"
"93","nocturn"
"94","paisibl"
"95","brul"
"96","electr"
"97","nerveux"
"98","fidel"
"99","brusqu"
"100","dign"
"101","nul"
"102","las"
"103","mou,mol"
"104","con"
"105","mouill"
"106","officiel"
"107","endorm"
"108","aigu"
"109","modest"
"110","fatigu"
"111","sag"
"112","transparent"
"113","visibl"
"114","assis"
"115","amer"
"116","exterieur"
"117","rud"
"118","innombr"
"119","prisonni"
"120","royal"
"121","aimabl"
"122","interess"
"123","luis"
"124","civil"
"125","honnet"
"126","menu"
"127","carr"
"128","ivre"
"129","stupid"
"130","penibl"
"131","sonor"
"132","infin"
"133","cathol"
"134","violet"
"135","expre"
"136","banal"
"137","insupport"
"138","alli"
"139","vierg"
"140","creux"
"141","chinois"
"142","espagnol"
"143","soviet"
"144","abandon"
"145","jaloux"
"146","precedent"
"147","metall"
"148","gener"
"149","souri"
"150","fatal"
"151","redout"
"152","suprem"
"153","miser"
"154","pourr"
"155","cass"
"156","massif"
"157","honteux"
"158","ardent"
"159","respons"
"160","gigantesqu"
"161","surpr"
"162","pointu"
"163","naif"
"164","singuli"
"165","ge"
"166","hostil"
"167","aerien"
"168","trembl"
"169","arme"
"170","incertain"
"171","consider"
"172","econom"
"173","professionnel"
"174","sexuel"
"175","prudent"
"176","marin"
"177","eclat"
"178","cour"
"179","arriv"
"180","clos"
"181","final"
"182","desagre"
"183","vilain"
"184","apparent"
"185","effrai"
"186","imperial"
"187","success"
"188","insolit"
"189","rauqu"
"190","instant"
"191","oubl"
"192","maladroit"
"193","humbl"
"194","perpetuel"
"195","pascal"
"196","probabl"
"197","incomprehensibl"
"198","eteint"
"199","moch"
"200","eclair"
"201","clandestin"
"202","bless"
"203","maud"
"204","atroc"
"205","exquis"
"206","sav"
"207","degueul"
"208","habill"
"209","crois"
"210","litterair"
"211","habil"
"212","commod"
"213","use"
"214","complic"
"215","urgent"
"216","sournois"
"217","inferieur"
"218","suspect"
"219","brui"
"220","ecart"
"221","vulgair"
"222","postal"
"223","impatient"
"224","foutu"
"225","rassur"
"226","pratiqu"
"227","pol"
"228","menac"
"229","melancol"
"230","favor"
"231","poussier"
"232","inevit"
"233","mondial"
"234","funebr"
"235","provisoir"
"236","legitim"
"237","conven"
"238","tern"
"239","decis"
"240","combatt"
"241","europeen"
"242","agress"
"243","gracieux"
"244","supplementair"
"245","vitr"
"246","occidental"
"247","sympath"
"248","satisf"
"249","excess"
"250","monoton"
"251","injust"
"252","vertical"
"253","ident"
"254","cuit"
"255","imperceptibl"
"256","cach"
"257","traditionnel"
"258","intellectuel"
"259","glu"
"260","confort"
"261","moit"
"262","joint"
"263","patient"
"264","couvert"
"265","liquid"
"266","anonym"
"267","stupef"
"268","polon"
"269","blem"
"270","conscient"
"271","allum"
"272","tomb"
"273","spirituel"
"274","municipal"
"275","inert"
"276","oppos"
"277","strict"
"278","oriental"
"279","chic"
"280","assur"
"281","scolair"
"282","elementair"
"283","relat"
"284","epuis"
"285","paternel"
"286","insignifi"
"287","glacial"
"288","distr"
"289","multicolor"
"290","marron"
"291","don"
"292","mignon"
"293","rav"
"294","imbecil"
"295","forc"
"296","capital"
"297","flott"
"298","ennui"
"299","prodigi"
"300","mondain"
"301","eventuel"
"302","saoul"
"303","hagard"
